17:15:25.700729,65534,65535
17:15:25.700729,65534,65535
17:15:25.700729,65534,65535
17:15:25.700729,65534,65535
17:15:25.753821,65534,65535
17:15:25.753821,65534,65535
17:15:25.805904,15,24412
17:15:25.858031,15,23576
17:15:25.910079,15,21066
17:15:25.910079,15,21169
17:15:25.910079,15,20776
17:15:25.910079,15,19783
17:15:25.962748,15,18016
17:15:25.962748,14,17607
17:15:25.962748,14,16239
17:15:25.962748,14,15299
17:15:26.015491,14,13506
17:15:26.067573,14,17621
17:15:26.067573,15,19877
17:15:26.119757,15,21051
17:15:26.119757,15,19554
17:15:26.119757,15,17178
17:15:26.172086,15,14445
17:15:26.172086,15,11545
17:15:26.224541,15,13728
17:15:26.276713,65534,65535
17:15:26.276713,16,20909
17:15:26.276713,16,20587
17:15:26.276713,16,6333
17:15:26.328897,16,6655
17:15:26.328897,17,21203
17:15:26.328897,17,17539
17:15:26.380893,18,2453
17:15:26.380893,21,3388
17:15:26.433259,65534,65535
17:15:26.433259,65534,65535
17:15:26.433259,65534,65535
17:15:26.485530,21,8023
17:15:26.485530,22,9659
17:15:26.485530,22,9452
17:15:26.537972,24,3087
17:15:26.537972,24,2177
17:15:26.537972,27,3701
17:15:26.537972,27,3565
17:15:26.590281,28,6186
17:15:26.642173,65534,65535
17:15:26.642173,28,6415
17:15:26.694771,29,12389
17:15:26.694771,65534,65535
17:15:26.747164,65534,65535
17:15:26.747164,32,48745
17:15:26.799217,65534,65535
17:15:26.799217,35,26652
17:15:26.799217,36,6672
17:15:26.851297,39,38303
17:15:26.851297,41,6063
17:15:26.903573,43,6510
17:15:26.903573,43,3342
17:15:26.955626,48,6010
17:15:27.007599,52,5494
17:15:27.007599,53,6077
17:15:27.059577,56,8478
17:15:27.059577,57,10964
17:15:27.111691,58,12675
17:15:27.111691,59,12527
17:15:27.111691,60,11047
17:15:27.111691,61,9664
17:15:27.216063,66,6409
17:15:27.216063,67,5907
17:15:27.268475,69,5610
17:15:27.320355,73,3167
17:15:27.372465,75,3811
17:15:27.424468,76,4434
17:15:27.424468,76,4668
17:15:27.424468,77,4410
17:15:27.424468,77,4358
17:15:27.476882,78,2312
17:15:27.476882,83,2672
17:15:27.528905,84,2295
17:15:27.528905,84,2165
17:15:27.528905,86,2157
17:15:27.581090,87,2135
17:15:27.633080,89,2011
17:15:27.633080,89,2250
17:15:27.633080,91,2333
17:15:27.685632,92,2432
17:15:27.685632,92,2341
17:15:27.685632,94,2281
17:15:27.737791,95,2104
17:15:27.737791,97,1999
17:15:27.789869,98,1857
17:15:27.789869,99,1806
17:15:27.789869,101,1764
17:15:27.842143,102,1766
17:15:27.842143,104,1747
17:15:27.842143,104,1613
17:15:27.894419,106,1957
17:15:27.894419,108,2610
17:15:27.894419,109,2596
17:15:27.948455,111,2518
17:15:28.001720,115,2640
17:15:28.053852,117,2473
17:15:28.053852,117,1634
17:15:28.106311,117,7283
17:15:28.158445,119,16317
17:15:28.158445,120,13296
17:15:28.262269,125,17892
17:15:28.262269,126,17944
17:15:28.262269,126,17085
17:15:28.314530,129,17386
17:15:28.366418,130,16133
17:15:28.366418,132,14952
17:15:28.418826,135,15250
17:15:28.418826,136,14478
17:15:28.418826,136,14427
17:15:28.471283,137,14696
17:15:28.471283,138,14708
17:15:28.523535,141,12834
17:15:28.523535,141,13031
17:15:28.523535,142,12655
17:15:28.523535,143,11801
17:15:28.575853,146,6224
17:15:28.575853,147,4594
17:15:28.627914,150,2891
17:15:28.679849,152,4069
17:15:28.679849,153,4448
17:15:28.732168,155,7363
17:15:28.732168,157,7237
17:15:28.784380,161,7224
17:15:28.836178,162,8001
17:15:28.836178,163,8443
17:15:28.836178,164,7609
17:15:28.836178,165,6909
